what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1365137855656
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365137859687
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365137863453
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.open.external.javadoc",1365137872921
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365137873140
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365137898406
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365137919234
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1365137924015
error,log,,,"Core exception while retrieving the content description",1365137925671
error,log,,,"Core exception while retrieving the content description",1365137925671
error,log,,,"Core exception while retrieving the content description",1365137925671
error,log,,,"Core exception while retrieving the content description",1365137925671
error,log,,,"Core exception while retrieving the content description",1365137925671
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1365137928156
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1365137929593
error,log,,,"Core exception while retrieving the content description",1365137930015
error,log,,,"Core exception while retrieving the content description",1365137930015
error,log,,,"Core exception while retrieving the content description",1365137930015
error,log,,,"Core exception while retrieving the content description",1365137930015
error,log,,,"Core exception while retrieving the content description",1365137930015
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1365137930281
error,log,,,"Core exception while retrieving the content description",1365137930578
error,log,,,"Core exception while retrieving the content description",1365137930578
error,log,,,"Core exception while retrieving the content description",1365137930578
error,log,,,"Core exception while retrieving the content description",1365137930578
error,log,,,"Core exception while retrieving the content description",1365137930578
error,log,,,"Core exception while retrieving the content description",1365137933875
error,log,,,"Core exception while retrieving the content description",1365137933875
error,log,,,"Core exception while retrieving the content description",1365137933875
error,log,,,"Core exception while retrieving the content description",1365137933875
error,log,,,"Core exception while retrieving the content description",1365137933875
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365137934984
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365137943421
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365137961906
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365137972687
error,log,,,"Core exception while retrieving the content description",1365137998406
error,log,,,"Core exception while retrieving the content description",1365137998406
error,log,,,"Core exception while retrieving the content description",1365137998406
error,log,,,"Core exception while retrieving the content description",1365137998421
error,log,,,"Core exception while retrieving the content description",1365137998421
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1365138039781
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365138050718
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365138052421
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365138053671
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1365138054843
error,log,,,"Core exception while retrieving the content description",1365138063062
error,log,,,"Core exception while retrieving the content description",1365138063109
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365138063203
error,log,,,"Core exception while retrieving the content description",1365138063562
error,log,,,"Core exception while retrieving the content description",1365138063562
error,log,,,"Core exception while retrieving the content description",1365138063562
error,log,,,"Core exception while retrieving the content description",1365138063562
error,log,,,"Core exception while retrieving the content description",1365138063562
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1365138065140
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1365138066359
error,log,,,"Core exception while retrieving the content description",1365138066859
error,log,,,"Core exception while retrieving the content description",1365138066859
error,log,,,"Core exception while retrieving the content description",1365138066859
error,log,,,"Core exception while retrieving the content description",1365138066859
error,log,,,"Core exception while retrieving the content description",1365138066859
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1365138067203
error,log,,,"Core exception while retrieving the content description",1365138070015
error,log,,,"Core exception while retrieving the content description",1365138070031
error,log,,,"Core exception while retrieving the content description",1365138070031
error,log,,,"Core exception while retrieving the content description",1365138070031
error,log,,,"Core exception while retrieving the content description",1365138070046
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365138077406
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365138090375
error,log,,,"Core exception while retrieving the content description",1365138133640
error,log,,,"Core exception while retrieving the content description",1365138133640
error,log,,,"Core exception while retrieving the content description",1365138133640
error,log,,,"Core exception while retrieving the content description",1365138133640
error,log,,,"Core exception while retrieving the content description",1365138133656
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365138134671
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365138228515
